Limit
"DO-160F, Radiated RF Interference"
"Catagory M"
,
,01
Type, Upper
X Axis Unit, MHz
Amplitude Unit, dBuV
Frequency Interpolation, Logarithmic
Amplitude Interpolation, Logarithmic
X Control, Fixed
Y Control, Fixed
Margin, 0
X Offset, 0
Y Offset, 0
DATA
100.000000, 44.61
108.000000, 45.15
108.000000, 35.00
152.000000, 37.50
152.000000, 47.52
960.000000, 60.29
960.000000, 50.30
1215.000000, 52.00
1215.000000, 61.93
1525.000000, 63.50
1525.000000, 53.50
1680.000000, 54.00
1680.000000, 64.17
6000.000000, 73.00




