Amplitude Correction
"11940A Close Field Probe (30 MHz to 1 GHz)"
""
,
,01
Frequency Unit,MHz
Antenna Unit,None
Frequency Interpolation,Linear
DATA
30.000000,0.00
30.000000,54.00
50.000000,49.50
75.000000,46.50
100.00000,43.00
125.00000,42.00
150.00000,41.00
175.00000,40.00
200.00000,39.00
250.00000,37.50
300.00000,35.00
350.00000,33.00
400.00000,32.50
450.00000,33.30
500.00000,33.00
550.00000,33.30
600.00000,32.00
650.00000,30.00
675.00000,29.00
700.00000,28.50
725.00000,29.00
750.00000,30.20
800.00000,32.00
850.00000,32.00
900.00000,31.50
950.00000,29.00
1000.0000,27.00
1000.0000,0.0
