Amplitude Correction
"83050A Amplifier (2 GHz to 50 GHz)"
""
,
,01
Frequency Unit,GHz
Antenna Unit,None
Frequency Interpolation,Linear
DATA
2.0000000,0.00
2.0000000,-29.50
3.4000000,-28.70
5.4300000,-28.00
7.1400000,-27.10
8.8600000,-27.20
10.570000,-26.90
14.000000,-26.80
15.710000,-26.20
17.430000,-26.00
19.140000,-26.30
22.570000,-26.60
26.000000,-27.10
27.710000,-28.00
29.430000,-28.70
31.140000,-29.00
32.860000,-29.90
34.570000,-28.80
36.290000,-28.20
39.710000,-29.10
40.570000,-30.00
41.430000,-30.50
42.290000,-30.00
43.140000,-29.10
46.570000,-26.60
50.000000,-26.90
50.000000,0.00
