Amplitude Correction
"Biconical Antenna (30 MHz to 300 MHz)"
""
,
,01
Frequency Unit,MHz
Antenna Unit,dBuV/m
Frequency Interpolation,Linear
DATA
30.000000,0.00
30.000000,19.00
40.000000,17.90
50.000000,13.20
60.000000,9.00
70.000000,6.60
80.000000,7.60
90.000000,9.20
100.00000,10.50
110.00000,12.00
120.00000,14.00
130.00000,16.30
140.00000,18.40
150.00000,19.40
160.00000,19.00
170.00000,18.30
180.00000,17.60
190.00000,17.00
200.00000,16.70
210.00000,17.00
220.00000,17.40
230.00000,18.20
240.00000,19.10
250.00000,20.40
260.00000,22.40
270.00000,24.50
280.00000,25.50
290.00000,25.00
300.00000,24.90
300.00000,0.00
