Amplitude Correction
"Broadband Antenna (26 MHz to 3 GHz)"
""
,
,01
Frequency Unit,MHz
Antenna Unit,dBuV/m
Frequency Interpolation,Linear
DATA
26.000000,0.00
26.000000,20.00
30.000000,17.50
40.000000,13.50
50.000000,10.50
60.000000,8.20
70.000000,7.20
80.000000,7.10
90.000000,7.30
100.00000,7.50
110.00000,7.60
120.00000,7.50
130.00000,7.60
140.00000,8.10
150.00000,8.60
160.00000,9.20
170.00000,9.70
180.00000,9.90
190.00000,10.20
200.00000,10.50
225.00000,11.70
250.00000,12.60
275.00000,12.80
300.00000,13.50
325.00000,14.60
350.00000,15.60
375.00000,16.60
400.00000,16.70
425.00000,16.90
450.00000,17.40
475.00000,18.30
500.00000,18.80
525.00000,19.40
550.00000,19.60
575.00000,19.90
600.00000,20.80
625.00000,21.20
650.00000,22.20
675.00000,21.70
700.00000,22.20
725.00000,22.60
750.00000,22.90
775.00000,23.30
800.00000,23.30
825.00000,23.60
850.00000,24.10
875.00000,24.80
900.00000,24.90
925.00000,24.90
950.00000,24.90
975.00000,24.90
1000.0000,25.20
1050.0000,25.30
1100.0000,25.60
1150.0000,26.50
1200.0000,26.90
1250.0000,26.80
1300.0000,26.80
1350.0000,27.80
1400.0000,28.10
1450.0000,27.80
1500.0000,28.00
1550.0000,29.00
1600.0000,29.00
1650.0000,28.80
1700.0000,28.80
1750.0000,29.90
1800.0000,30.10
1850.0000,29.90
1900.0000,29.70
1950.0000,29.70
2000.0000,31.00
2100.0000,31.20
2200.0000,31.50
2300.0000,32.50
2400.0000,32.80
2500.0000,33.00
2600.0000,34.00
2700.0000,35.00
2800.0000,36.00
2900.0000,37.00
3000.0000,38.00
3000.0000,0.00
